11338	7152	13138	13129	42485	13142	20927	11566	44895	13133
3344	748	3921	196	4188	124	31105	233	7700	577
15096	16477	15104	13844	14346	15105	3897	1917	15085	7796
189	10086	4144	2993	34557	3907	10452	1939	3898	6023
14155	91	1317	1021	1291	5207	1292	928	6770	699
131	798	2747	35494	2993	7261	2425	1617	748	592
15877	50236	26975	15876	45188	57216	44435	21666	24329	55295
15934	3390	50535	481	6786	22791	457	601	435	9865
16106	16043	16054	7845	16039	16005	16030	15998	16017	16067
1142	246	2747	1666	7261	577	288	239	1195	801
39	91	450	374	3	283	16	1140	68	13
7437	561	3170	11	98	22	934	16	354	91
7989	1864	4089	3238	16	2121	271	22	1032	13634
2203	4790	474	699	389	2238	1133	5874	91	701
3221	3	605	506	6750	761	22	91	449	33
16394	16392	12056	16396	16401	38350	16391	16393	16402	16400
16455	2787	50	25090	236	8894	98	3238	12539	5784
13845	7796	14330	15096	16477	15104	8860	3887	14346	1917
16527	2958	1066	1076	639	2434	226	170	643	1073
146	34613	12864	3898	15729	3216	4144	1919	7792	1939
12299	291	634	7839	1142	2748	12626	1666	795	1195
16676	27778	28217	52570	6648	52000	35022	20140	42994	43758
16728	50872	27309	48779	44624	48780	46269	27614	46195	54915
2747	1142	801	7261	2425	705	1617	828	2529	5187
16760	47627	7233	44022	18571	51256	50445	49076	60005	43596
32	55	9	1301	30	754	240	29	295	225
16829	22690	16812	9651	4294	1270	4401	4853	11293	2963
3800	17	26	33	6	266	758	31	712	761
6285	285	5275	2613	2623	572	304	9708	762	21125
6143	8090	2576	44660	196	1062	813	1646	14771	8091
5585	559	42	566	2303	573	598	9293	2347	441
5926	5590	250	4328	776	1268	10	259	357	39
16898	8138	4188	155	3921	5415	11054	196	40629	3920
17123	13247	22570	25596	26755	26773	55230	25512	59646	24773
531	17160	32198	3762	11459	4329	69	7023	24839	41488
146	34613	12864	3898	15729	2993	3216	4144	1919	6023
9966	16791	50223	4057	31295	4027	26300	3996	21624	4077
8804	24225	14983	24918	971	24951	13777	10064	13601	22929
288	246	3114	12	1076	3125	56	730	2478	5045
732	6	17	761	3800	31	33	26	43	1797
497	252	49668	71	493	495	22730	1144	18522	49667
30	505	29	55	26	240	265	32	1301	568
703	10064	8804	22929	971	24225	13601	5532	11124	6293
17321	17307	13805	17305	4670	3997	4682	17304	4669	13864
1814	34977	2038	616	2051	2046	4349	1818	14213	15840
11949	22223	11973	3136	11972	22217	10378	28058	10302	681
26	17	33	568	761	265	30	55	295	758
246	3114	1076	3125	56	730	2478	5045	5526	643
4947	51110	4916	12411	13196	17544	17507	10060	51109	38820
16501	354	9407	6713	5518	1512	5467	2167	5464	20301
10519	801	1617	1143	291	17643	2160	2547	705	895
10	39	450	91	374	3	283	16	1140	13
1120	20573	4852	4823	2428	4340	2434	643	639	1073
3	605	283	6750	91	17	68	39	3221	449
2993	3907	2994	189	179	1992	8072	10452	34557	8018
250	647	1268	39	3	283	357	984	68	7023
17844	37892	27666	27409	30869	41308	36054	30634	10027	19618
1620	1098	5204	916	1169	2635	5188	607	1626	7261
17920	17925	15207	8169	22064	47554	4913	19393	59778	32406
6836	91	928	430	1292	1953	3154	5207	68	6750
592	3207	1668	4188	813	748	6228	35494	618	8086
2459	2415	2416	2423	7515	2420	2438	34346	2445	2460
487	363	374	1209	2290	1066	701	563	283	68
8681	284	1412	258	2180	4247	283	545	68	442
7727	9855	6776	3268	9834	14596	9840	3669	9831	20756
12068	231	27	500	505	1911	3739	9	743	266
4838	4865	20719	50703	4866	29586	39805	27412	42451	39422
354	11	732	764	1796	1140	91	10	864	506
18254	4872	8647	8658	18241	47466	5462	5275	49664	594
18310	3036	14806	3125	7445	17429	25161	9087	2945	2325
3207	1668	4188	813	748	6228	35494	618	8086	3344
